term,proposed_topic,source_batch
Cylinder bore deformation,Grooved & Obsolete Carrier Preservation,Batch 1
End-shrinkage,Grooved & Obsolete Carrier Preservation,Batch 1
Cylinder ovalization,Grooved & Obsolete Carrier Preservation,Batch 1
Celluloid-cylinder delamination,Grooved & Obsolete Carrier Preservation,Batch 1
Plaster-core expansion,Grooved & Obsolete Carrier Preservation,Batch 1
Dictation belt,Grooved & Obsolete Carrier Preservation,Batch 1
Dictabelt,Grooved & Obsolete Carrier Preservation,Batch 1
SoundScriber disc,Grooved & Obsolete Carrier Preservation,Batch 1
Gray Audograph disc,Grooved & Obsolete Carrier Preservation,Batch 1
Memobelt,Grooved & Obsolete Carrier Preservation,Batch 1
Groove embossing recovery,Grooved & Obsolete Carrier Preservation,Batch 1
Belt flattening,Grooved & Obsolete Carrier Preservation,Batch 1
Mandrel casting,Grooved & Obsolete Carrier Preservation,Batch 1
Noncontact cylinder scanning,Grooved & Obsolete Carrier Preservation,Batch 1
Helical-groove reconstruction,Grooved & Obsolete Carrier Preservation,Batch 1
Optical sound recovery,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Noncontact playback,"Archival Transfer, Recovery & Restoration Processing",Batch 1
IRENE scanning,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Two-dimensional groove imaging,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Three-dimensional groove imaging,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Surface metrology,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Groove-topography reconstruction,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Virtual stylus,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Optical transfer profile,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Groove-centerline extraction,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Wall-profile extraction,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Occlusion bridging,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Fracture registration,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Fragment stitching,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Image-domain dewarping,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Virtual reassembly,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Decrackling,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Declicking,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Impulse interpolation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Bidirectional interpolation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Autoregressive interpolation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Spectral inpainting,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Sinusoidal interpolation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Transient reconstruction,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Broadband impulse,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Click tail,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Thump removal,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Deplosive processing,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Declip reconstruction,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Asymmetric declipping,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Dropout interpolation,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Partial dropout,"Archival Transfer, Recovery & Restoration Processing",Batch 1
High-frequency dropout,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Channel substitution,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Patch-source restoration,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Composite restoration,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Source intercutting,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Multi-source alignment,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Drift-compensated alignment,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Hum fundamental,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Hum-harmonic series,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Hum tracking,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Adaptive dehum,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Comb-notch dehum,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Harmonic hum reconstruction,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Buzz burst,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Rectifier buzz,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Line-frequency wander,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Heterodyne whistle,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Bias whistle,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Pilot-tone leakage,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Carrier leakage,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Beat-frequency interference,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Switching hash,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Arc noise,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Ignition interference,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Radio breakthrough,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Crosstalk print,"Archival Transfer, Recovery & Restoration Processing",Batch 1
Bit-level preservation,Archival Preservation Principles & Digital Repository,Batch 1
Fixity,Archival Preservation Principles & Digital Repository,Batch 1
Fixity check,Archival Preservation Principles & Digital Repository,Batch 1
Checksum manifest,Archival Preservation Principles & Digital Repository,Batch 1
Cryptographic hash,Archival Preservation Principles & Digital Repository,Batch 1
Checksum collision,Archival Preservation Principles & Digital Repository,Batch 1
Silent corruption,Archival Preservation Principles & Digital Repository,Batch 1
Bit rot,Archival Preservation Principles & Digital Repository,Batch 1
Media refreshing,Archival Preservation Principles & Digital Repository,Batch 1
Format migration,Archival Preservation Principles & Digital Repository,Batch 1
Normalization,Archival Preservation Principles & Digital Repository,Batch 1
Preservation normalization,Archival Preservation Principles & Digital Repository,Batch 1
Replication,Archival Preservation Principles & Digital Repository,Batch 1
Geographic replication,Archival Preservation Principles & Digital Repository,Batch 1
Storage diversity,Archival Preservation Principles & Digital Repository,Batch 1
Technological diversity,Archival Preservation Principles & Digital Repository,Batch 1
Integrity audit,Archival Preservation Principles & Digital Repository,Batch 1
Audit trail,Archival Preservation Principles & Digital Repository,Batch 1
Event metadata,Archival Preservation Principles & Digital Repository,Batch 1
Preservation provenance,Archival Preservation Principles & Digital Repository,Batch 1
Significant properties,Archival Preservation Principles & Digital Repository,Batch 1
Representation information,Archival Preservation Principles & Digital Repository,Batch 1
Representation network,Archival Preservation Principles & Digital Repository,Batch 1
Preservation watch,Archival Preservation Principles & Digital Repository,Batch 1
Technology watch,Archival Preservation Principles & Digital Repository,Batch 1
Coding history field,Archival Preservation Principles & Digital Repository,Batch 1
Originator reference,Archival Preservation Principles & Digital Repository,Batch 1
Time reference,Archival Preservation Principles & Digital Repository,Batch 1
Embedded checksum,Archival Preservation Principles & Digital Repository,Batch 1
MD5 chunk,Archival Preservation Principles & Digital Repository,Batch 1
RF64,Archival Preservation Principles & Digital Repository,Batch 1
WAVE64,Archival Preservation Principles & Digital Repository,Batch 1
Process metadata,Archival Preservation Principles & Digital Repository,Batch 1
Carrier metadata,Archival Preservation Principles & Digital Repository,Batch 1
Replay metadata,Archival Preservation Principles & Digital Repository,Batch 1
Restoration metadata,Archival Preservation Principles & Digital Repository,Batch 1
AES57 object structure,Archival Preservation Principles & Digital Repository,Batch 1
Metadata crosswalk,Archival Preservation Principles & Digital Repository,Batch 1
Schema validation,Archival Preservation Principles & Digital Repository,Batch 1
Controlled vocabulary,Archival Preservation Principles & Digital Repository,Batch 1
Persistent identifier,Archival Preservation Principles & Digital Repository,Batch 1
Essence,Archival Preservation Principles & Digital Repository,Batch 1
Essence container,Archival Preservation Principles & Digital Repository,Batch 1
Ingest validation,Archival Preservation Principles & Digital Repository,Batch 1
Archival ingest,Archival Preservation Principles & Digital Repository,Batch 1
Content Information,Archival Preservation Principles & Digital Repository,Batch 1
Preservation Description Information,Archival Preservation Principles & Digital Repository,Batch 1
Reference information,Archival Preservation Principles & Digital Repository,Batch 1
Context information,Archival Preservation Principles & Digital Repository,Batch 1
Provenance information,Archival Preservation Principles & Digital Repository,Batch 1
Fixity information,Archival Preservation Principles & Digital Repository,Batch 1
Designated community,Archival Preservation Principles & Digital Repository,Batch 1
Independent understandability,Archival Preservation Principles & Digital Repository,Batch 1
Repository succession plan,Archival Preservation Principles & Digital Repository,Batch 1
Remanence,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Retentivity,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Coercivity,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Intrinsic coercivity,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Saturation magnetization,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Saturation remanence,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Magnetic hysteresis,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Hysteresis loop,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Anhysteretic recording,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Anhysteretic remanence,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Domain orientation,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Particle orientation,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Orientation ratio,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Switching-field distribution,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Magnetization transition,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Transition crowding,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Self-demagnetization,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Thickness loss,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Wavelength response,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Recorded wavelength,"Magnetic Recording Physics, Bias & Erasure",Batch 1
AC bias,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias frequency,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias current,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Optimum bias,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Overbias,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Underbias,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Overbias curve,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias null,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias trap,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias feedthrough,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias rocks,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bias compatibility,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Erase depth,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Erasure ratio,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Incomplete erasure,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Erase-field penetration,"Magnetic Recording Physics, Bias & Erasure",Batch 1
DC erasure,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Bulk erasure,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Degausser dwell,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Degausser withdrawal,"Magnetic Recording Physics, Bias & Erasure",Batch 1
Reference fluxivity,"Tape Level, Calibration & EQ Standards",Batch 1
Magnetic fluxivity,"Tape Level, Calibration & EQ Standards",Batch 1
Elevated operating level,"Tape Level, Calibration & EQ Standards",Batch 1
Standard reference level,"Tape Level, Calibration & EQ Standards",Batch 1
Tape sensitivity,"Tape Level, Calibration & EQ Standards",Batch 1
Relative tape sensitivity,"Tape Level, Calibration & EQ Standards",Batch 1
Reference tape,"Tape Level, Calibration & EQ Standards",Batch 1
Reproducer test tape,"Tape Level, Calibration & EQ Standards",Batch 1
Multifrequency alignment tape,"Tape Level, Calibration & EQ Standards",Batch 1
Short-wavelength level,"Tape Level, Calibration & EQ Standards",Batch 1
Long-wavelength level,"Tape Level, Calibration & EQ Standards",Batch 1
Maximum output level,"Tape Level, Calibration & EQ Standards",Batch 1
Maximum output level at 3% distortion,"Tape Level, Calibration & EQ Standards",Batch 1
Saturation output,"Tape Level, Calibration & EQ Standards",Batch 1
Saturation output level,"Tape Level, Calibration & EQ Standards",Batch 1
Tape headroom,"Tape Level, Calibration & EQ Standards",Batch 1
Modulation noise,"Tape Level, Calibration & EQ Standards",Batch 1
DC noise,"Tape Level, Calibration & EQ Standards",Batch 1
Erased-tape noise,"Tape Level, Calibration & EQ Standards",Batch 1
Bulk-erased noise,"Tape Level, Calibration & EQ Standards",Batch 1
Weighted tape noise,"Tape Level, Calibration & EQ Standards",Batch 1
Print-through ratio,"Tape Level, Calibration & EQ Standards",Batch 1
IEC1 equalization,"Tape Level, Calibration & EQ Standards",Batch 1
IEC2 equalization,"Tape Level, Calibration & EQ Standards",Batch 1
CCIR equalization,"Tape Level, Calibration & EQ Standards",Batch 1
NAB equalization,"Tape Level, Calibration & EQ Standards",Batch 1
NARTB equalization,"Tape Level, Calibration & EQ Standards",Batch 1
DIN tape equalization,"Tape Level, Calibration & EQ Standards",Batch 1
AES equalization,"Tape Level, Calibration & EQ Standards",Batch 1
NagraMaster equalization,"Tape Level, Calibration & EQ Standards",Batch 1
Ampex Master Equalization,"Tape Level, Calibration & EQ Standards",Batch 1
House equalization,"Tape Level, Calibration & EQ Standards",Batch 1
Replay time constant,"Tape Level, Calibration & EQ Standards",Batch 1
Infinite low-frequency time constant,"Tape Level, Calibration & EQ Standards",Batch 1
Equalization ambiguity,"Tape Level, Calibration & EQ Standards",Batch 1
Equalization misdecode,"Tape Level, Calibration & EQ Standards",Batch 1
Head bump,"Tape Heads, Track Geometry & Transport",Batch 1
