term,final_topic,source_batch
Post-compressor riding,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Upward intelligibility control,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Dialogue crest management,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Word-front clipping,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Word-tail swallowing,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Dialogue carve,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Dynamic dialogue carve,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Spectral ducking,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Dialogue-triggered unmasking,"Dialogue Mixing, Premix, Speech & AI Voice",Batch 1
Music and Effects,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Fully filled M&E,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Partially filled M&E,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
M&E fill,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
M&E sweetener,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
M&E editorial pass,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Dialogue-free production effect,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Dialogue contamination,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Vocal contamination,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Language-neutral vocal,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Language-specific effort,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Foreign-version optional,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Optional dialogue,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Textless vocal,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Domestic version,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Dialogue guide stem,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Dip track,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Undipped M&E,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Fully undipped stem,"Dubbing — Adaptation, Sync & Deliverables",Batch 1
Dubbing adaptation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Dialogue adaptation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Pre-adaptation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Adaptation pass,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Sync pass,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Performability pass,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Speakability,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Dubability,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Oral naturalness,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Prefabricated orality,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Dubbese,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Translationese,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Source-language calque,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Dialogue calque,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Structural calque,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Pragmatic calque,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Dubbing cliché,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Isochronic constraint,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Isochronic adaptation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Utterance-duration matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Phrase-duration matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Segment-duration matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Temporal accommodation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Temporal compression,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Temporal expansion,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Linguistic expansion,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Linguistic condensation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Syllabic expansion,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Speech-rate compensation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Compression threshold,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Expansion threshold,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Time-slot occupancy,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Sync envelope,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Sync latitude,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Entry latitude,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Exit latitude,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Internal timing anchor,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Boundary synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Internal synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Pause synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Pause redistribution,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Hesitation matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Silence accommodation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Utterance segmentation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Segmentation mismatch,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Phonetic synchronization,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Visemic synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Viseme,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Viseme matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Visemic compatibility,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Viseme substitution,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Viseme collision,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Viseme tolerance,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Labial synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Bilabial correspondence,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Labiodental correspondence,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Open-vowel correspondence,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Rounded-vowel correspondence,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Lip-rounding mismatch,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Closure mismatch,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Aperture mismatch,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Articulatory anchor,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Closure anchor,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Vowel anchor,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Mouth-flap matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Flap,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Flap count,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Flap density,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Loose flap,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Tight flap,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Held flap,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Closed-mouth frame,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Mouth-open interval,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Flap interpolation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Kinesic synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Gesture synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Gesture anchoring,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Deictic synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Nodding synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Head-turn synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Breath-action synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Impact synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Effort synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Action-locked vocal,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Gesture-loaded utterance,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Visual prosody,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Performance synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Emotional synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Affective synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Body-voice fit,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Vocal physiognomy,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Acoustic body,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Prosodic transfer,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Prosodic adaptation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Prosodic alignment,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Intonational equivalence,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Stress relocation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Accentual synchrony,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Nuclear-stress matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Tonal contour matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Phrase-contour matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Prosodic resegmentation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Intonational rephrasing,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Emphasis preservation,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Emphasis displacement,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Pragmatic stress,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Information-focus matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Attitudinal prosody,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Discourse-prosody matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Breath-group matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Emotional-arc matching,"Dubbing — Adaptation, Sync & Deliverables",Batch 2
Cultural substitution,"Dubbing — Localization, Casting & QC",Batch 2
Cultural transplantation,"Dubbing — Localization, Casting & QC",Batch 2
Cultural neutralization,"Dubbing — Localization, Casting & QC",Batch 2
Cultural retention,"Dubbing — Localization, Casting & QC",Batch 2
Cultural explicitation,"Dubbing — Localization, Casting & QC",Batch 2
Cultural compensation,"Dubbing — Localization, Casting & QC",Batch 2
Functional equivalence,"Dubbing — Localization, Casting & QC",Batch 2
Pragmatic equivalence,"Dubbing — Localization, Casting & QC",Batch 2
Dynamic equivalence,"Dubbing — Localization, Casting & QC",Batch 2
Register localization,"Dubbing — Localization, Casting & QC",Batch 2
Sociolect localization,"Dubbing — Localization, Casting & QC",Batch 2
Dialect relocation,"Dubbing — Localization, Casting & QC",Batch 2
Dialect neutralization,"Dubbing — Localization, Casting & QC",Batch 2
Dialect leveling,"Dubbing — Localization, Casting & QC",Batch 2
Accent mapping,"Dubbing — Localization, Casting & QC",Batch 2
Accent substitution,"Dubbing — Localization, Casting & QC",Batch 2
Accent neutralization,"Dubbing — Localization, Casting & QC",Batch 2
Sociolinguistic mapping,"Dubbing — Localization, Casting & QC",Batch 2
Politeness recalibration,"Dubbing — Localization, Casting & QC",Batch 2
Honorific adaptation,"Dubbing — Localization, Casting & QC",Batch 2
Kinship-term localization,"Dubbing — Localization, Casting & QC",Batch 2
Vocative adaptation,"Dubbing — Localization, Casting & QC",Batch 2
Taboo calibration,"Dubbing — Localization, Casting & QC",Batch 2
Swear-strength matching,"Dubbing — Localization, Casting & QC",Batch 2
Euphemistic substitution,"Dubbing — Localization, Casting & QC",Batch 2
Ratings-driven adaptation,"Dubbing — Localization, Casting & QC",Batch 2
Compliance localization,"Dubbing — Localization, Casting & QC",Batch 2
Market-specific versioning,"Dubbing — Localization, Casting & QC",Batch 2
Locale splitting,"Dubbing — Localization, Casting & QC",Batch 2
Locale fallback,"Dubbing — Localization, Casting & QC",Batch 2
Voice casting equivalence,"Dubbing — Localization, Casting & QC",Batch 2
Vocal-equivalence casting,"Dubbing — Localization, Casting & QC",Batch 2
Voice-body congruence,"Dubbing — Localization, Casting & QC",Batch 2
Vocal-age matching,"Dubbing — Localization, Casting & QC",Batch 2
Vocal-weight matching,"Dubbing — Localization, Casting & QC",Batch 2
Timbre matching,"Dubbing — Localization, Casting & QC",Batch 2
Performance-equivalence casting,"Dubbing — Localization, Casting & QC",Batch 2
Character-voice assignment,"Dubbing — Localization, Casting & QC",Batch 2
Voice continuity,"Dubbing — Localization, Casting & QC",Batch 2
Franchise voice continuity,"Dubbing — Localization, Casting & QC",Batch 2
Voice recast,"Dubbing — Localization, Casting & QC",Batch 2
Recast continuity,"Dubbing — Localization, Casting & QC",Batch 2
Vocal continuity break,"Dubbing — Localization, Casting & QC",Batch 2
Cross-title casting,"Dubbing — Localization, Casting & QC",Batch 2
Legacy voice,"Dubbing — Localization, Casting & QC",Batch 2
Voice claim,"Dubbing — Localization, Casting & QC",Batch 2
Actor-voice pairing,"Dubbing — Localization, Casting & QC",Batch 2
Fixed voice,"Dubbing — Localization, Casting & QC",Batch 2
Standard voice,"Dubbing — Localization, Casting & QC",Batch 2
Voice double,"Dubbing — Localization, Casting & QC",Batch 2
Dialogue director,"Dubbing — Localization, Casting & QC",Batch 2
Linguistic director,"Dubbing — Localization, Casting & QC",Batch 2
Language supervisor,"Dubbing — Localization, Casting & QC",Batch 2
Creative supervisor,"Dubbing — Localization, Casting & QC",Batch 2
Dubbing adapter,"Dubbing — Localization, Casting & QC",Batch 2
Dubbing author,"Dubbing — Localization, Casting & QC",Batch 2
Detection,"Dubbing — Localization, Casting & QC",Batch 2
Dialogue detection,"Dubbing — Localization, Casting & QC",Batch 2
Rhythmographic detection,"Dubbing — Localization, Casting & QC",Batch 2
Detection script,"Dubbing — Localization, Casting & QC",Batch 2
Cue extraction,"Dubbing — Localization, Casting & QC",Batch 2
Cue subdivision,"Dubbing — Localization, Casting & QC",Batch 2
Loop unit,"Dubbing — Localization, Casting & QC",Batch 2
Loop length,"Dubbing — Localization, Casting & QC",Batch 2
Loop boundary,"Dubbing — Localization, Casting & QC",Batch 2
Loop preparation,"Dubbing — Localization, Casting & QC",Batch 2
Single-character recording,"Dubbing — Localization, Casting & QC",Batch 2
Ensemble dubbing,"Dubbing — Localization, Casting & QC",Batch 2
Collective dubbing,"Dubbing — Localization, Casting & QC",Batch 2
Individual-band recording,"Dubbing — Localization, Casting & QC",Batch 2
Line-by-line dubbing,"Dubbing — Localization, Casting & QC",Batch 2
Block recording,"Dubbing — Localization, Casting & QC",Batch 2
Context recording,"Dubbing — Localization, Casting & QC",Batch 2
Cold-loop recording,"Dubbing — Localization, Casting & QC",Batch 2
Guide-track dependency,"Dubbing — Localization, Casting & QC",Batch 2
Source-performance shadowing,"Dubbing — Localization, Casting & QC",Batch 2
Guide bleed,"Dubbing — Localization, Casting & QC",Batch 2
Cue fatigue,"Dubbing — Localization, Casting & QC",Batch 2
International-version reconstruction,"Dubbing — Localization, Casting & QC",Batch 2
Foreign-version mix,"Dubbing — Localization, Casting & QC",Batch 2
Local-language mix,"Dubbing — Localization, Casting & QC",Batch 2
Dubbing mix,"Dubbing — Localization, Casting & QC",Batch 2
Localization premix,"Dubbing — Localization, Casting & QC",Batch 2
Dub dialogue stem,"Dubbing — Localization, Casting & QC",Batch 2
Foreign dialogue stem,"Dubbing — Localization, Casting & QC",Batch 2
Original-language guide,"Dubbing — Localization, Casting & QC",Batch 2
Source-dialogue bleed,"Dubbing — Localization, Casting & QC",Batch 2
Language contamination,"Dubbing — Localization, Casting & QC",Batch 2
Embedded dialogue,"Dubbing — Localization, Casting & QC",Batch 2
Dialogue-bearing effect,"Dubbing — Localization, Casting & QC",Batch 2
Vocal-bearing ambience,"Dubbing — Localization, Casting & QC",Batch 2
M&E deficiency,"Dubbing — Localization, Casting & QC",Batch 2
M&E repair,"Dubbing — Localization, Casting & QC",Batch 2
M&E supplementation,"Dubbing — Localization, Casting & QC",Batch 2
M&E fill cue,"Dubbing — Localization, Casting & QC",Batch 2
Optional track,"Dubbing — Localization, Casting & QC",Batch 2
Optional vocal,"Dubbing — Localization, Casting & QC",Batch 2
Language-neutral effort,"Dubbing — Localization, Casting & QC",Batch 2
Language-neutral vocalization,"Dubbing — Localization, Casting & QC",Batch 2
Language-bearing effort,"Dubbing — Localization, Casting & QC",Batch 2
Foreign-version Foley,"Dubbing — Localization, Casting & QC",Batch 2
International Foley,"Dubbing — Localization, Casting & QC",Batch 2
M&E checker,"Dubbing — Localization, Casting & QC",Batch 2
M&E check,"Dubbing — Localization, Casting & QC",Batch 2
Foreign-version QC,"Dubbing — Localization, Casting & QC",Batch 2
Dub-stage integration,"Dubbing — Localization, Casting & QC",Batch 2
Acoustic localization match,"Dubbing — Localization, Casting & QC",Batch 2
Linguistic QC,"Dubbing — Localization, Casting & QC",Batch 2
Technical QC,"Dubbing — Localization, Casting & QC",Batch 2
Creative QC,"Dubbing — Localization, Casting & QC",Batch 2
Dub QC,"Dubbing — Localization, Casting & QC",Batch 2
In-territory QC,"Dubbing — Localization, Casting & QC",Batch 2
Native-listener QC,"Dubbing — Localization, Casting & QC",Batch 2
Sync QC,"Dubbing — Localization, Casting & QC",Batch 2
Lip-sync defect,"Dubbing — Localization, Casting & QC",Batch 2
Start-sync error,"Dubbing — Localization, Casting & QC",Batch 2
End-sync error,"Dubbing — Localization, Casting & QC",Batch 2
Internal-sync error,"Dubbing — Localization, Casting & QC",Batch 2
Mouth-closure violation,"Dubbing — Localization, Casting & QC",Batch 2
Flap violation,"Dubbing — Localization, Casting & QC",Batch 2
Overlength line,"Dubbing — Localization, Casting & QC",Batch 2
Underlength line,"Dubbing — Localization, Casting & QC",Batch 2
Rushed delivery,"Dubbing — Localization, Casting & QC",Batch 2
